FECHA/DATA,,,,,,,,14/11/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PAG./ORRI.:,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hist�rico de Rendimientos por Crotal   /   Partos Entre : 01/09/2023 y 31/08/2024.  Secados Entre : 15/09/2023 y 15/09/2024.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERRITORIO:,,,,,,,,,NAVARRA - NAFARROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LOCALIDAD:,,,,,ISABA,,,,,,,,,,,,,,,,,,,,,,
EXPLOTACION:,,,,,,,,,311280000005,,,,,,,,S.C.A. RIPODAS OTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TITULAR:,,,S.C.A.  RIPODAS OTAL,,,,,,,,,,,,,,,,,,,,,,
,,RAZA:,,,,,,,18,,,,LATXA CARA NEGRA NAVARRA,,,,,,,,,,,,,,,,,,,,,,,,,MES VALORACI�N ,,,,,,,,,,,,20/09/2024,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,GENEALOGIA,,,,,,,,,,,ULTIMA LACTACION,,,,,,,,,,,,,,,,,,,,TODAS LACTACIO.,,,,,,,LAC,,,ULTIMAS 2 LACTAC.,,,,,,,
,,VAL.,,,,RESULT.,,,,,,CROTAL,,,,,,,CA.,,,CROTAL,,,,,,,CROTAL,,,,,,PARTO,,,,,,,,,Num,,,LACTACION,,,,,,,,PROMEDIOS,,,,,,,ACU.,,,,2022,,,,2023,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CL,,GENE,,,,,GENOT.,,,,,OVEJA,,,,,,,NA.,,,MADRE,,,,,,,PADRE,,,,,,Num,,FECHA,,,,V.,,M.,C.,,,DIAS,,ORDE.,,TIPO,,,,ANOM,,,LA,DIAS,,ORD,,TIPO,,,ORD.,,90ND1234567890ND12345678,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"8,47",,,,,,,,,,ES1400013,,,,,7717,,20,,,ES1400011,,,,83437,,,ES1400011,,,2119,,,4,,25/01/2024,,,1,,,,6,,,184,,147,,100,,,, ,,3,177,170,134,,,509,,,,160,,,143,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
***,,"41,21",,,,,,,,,,ES1400013,,,,,7720,,20,,,ES1400008,,,,33885,,,ES1400004,,,65490,,,4,,23/01/2024,,,1,,,,6,,,186,,259,,244,,,, ,,3,158,178,175,,,533,,,,160,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
