"","valgen","crotal","cana","npartosULT","fechapartoULT","nvivosULT","ncontrULT","diasULT","ordeULT","tipoULT","laPROM","diasPROM","orderPROM","tipoPROM","acumPROM"
"1","8,47","7717","20","4","25/01/2024","1","6","184","147","100","3","177","170","134","509"
"2","41,21","7720","20","4","23/01/2024","1","6","186","259","244","3","158","178","175","533"
"3","-1,39","7722","20","4","09/01/2024","2","4","140","101","103","3","161","141","127","423"
"4","27,33","7726","20","2","06/01/2024","1","6","203","250","195","2","191","218","180","436"
"5","21,75","7727","20","4","06/01/2024","2","6","203","193","152","3","179","188","159","564"
"6","13,94","7729","20","4","10/01/2024","1","6","199","235","205","4","164","175","160","701"
"7","9,44","7735","20","3","22/01/2024","1","6","187","195","154","2","181","182","150","364"
"8","27,03","7740","20","3","05/01/2024","2","6","204","242","199","3","178","217","182","651"
"9","15,03","7744","20","4","08/01/2024","1","6","201","281","262","4","166","191","164","762"
"10","3,41","7745","20","3","08/01/2024","1","6","201","96","76","2","190","173","133","346"
"11","22,58","7747","20","4","11/01/2024","2","6","198","190","169","3","160","161","152","482"
"12","33,3","7748","20","4","09/01/2024","1","6","200","297","259","4","178","221","176","883"
"13","40,05","7749","20","3","10/01/2024","1","6","199","274","287","3","190","205","182","614"
"14","21,16","7753","20","3","26/01/2024","1","6","183","217","196","3","166","177","162","532"
"15","7,15","7754","20","4","07/01/2024","1","6","202","181","116","4","154","158","137","631"
"16","30,58","7755","20","4","25/01/2024","2","6","184","289","304","3","167","180","173","541"
"17","13,89","7756","20","3","07/02/2024","1","3","80","81","123","3","136","117","149","350"
"18","66,28","7757","20","5","09/01/2024","1","4","140","174","186","3","160","217","202","650"
"19","-0,36","7760","20","3","07/01/2024","2","6","202","197","149","2","183","165","138","329"
"20","16,77","7767","20","3","09/01/2024","2","6","200","191","160","3","174","172","141","516"
"21","28,18","7768","20","3","25/01/2024","1","6","184","221","206","3","159","181","178","544"
"22","17,83","7769","20","4","24/01/2024","1","6","185","232","195","4","171","177","137","707"
"23","34,87","7770","20","3","08/01/2024","1","6","201","301","229","3","166","229","184","686"
"24","34,31","7771","20","3","26/01/2024","1","6","183","279","258","3","178","226","203","678"
"25","-5,6","7778","20","3","09/01/2024","2","6","200","113","73","3","181","126","102","379"
"26","48,24","7779","20","4","09/01/2024","2","6","200","352","290","4","170","272","252","1086"
"27","4,97","7780","20","3","24/01/2024","2","6","185","206","174","3","157","137","117","412"
"28","16,73","7781","20","3","20/02/2024","1","6","171","139","171","3","148","135","160","405"
"29","26,75","8590","16","7","29/01/2024","2","5","149","106","122","6","147","158","160","946"
"30","11,97","8625","16","7","04/02/2024","1","6","174","205","212","6","154","155","169","930"
"31","-6,19","14764","21","3","07/01/2024","1","6","202","161","120","2","187","173","138","345"
"32","19,41","14767","21","3","07/01/2024","2","6","202","214","200","3","173","172","153","515"
"33","11,16","14768","21","2","20/03/2024","2","5","137","183","180","2","162","169","140","337"
"34","26,51","14769","21","2","08/02/2024","1","6","171","226","197","2","184","238","181","475"
"35","12,78","14771","21","3","25/01/2024","1","6","184","263","208","3","140","179","153","537"
"36","10,49","14775","21","2","09/01/2024","2","6","200","138","121","2","199","156","120","311"
"37","10,15","14777","21","3","29/01/2024","2","6","180","201","214","3","153","130","133","391"
"38","30,48","14778","21","3","28/03/2024","1","5","137","194","242","2","151","183","197","365"
"39","9,01","14784","21","3","08/01/2024","1","3","110","109","138","2","108","110","137","219"
"40","-12,7","14788","21","3","25/01/2024","1","6","184","173","140","3","151","119","113","358"
"41","9,81","14789","21","2","24/01/2024","1","3","94","130","190","2","136","156","171","312"
"42","11,37","14790","21","3","24/01/2024","1","6","185","257","203","2","182","234","169","468"
"43","6,55","14791","21","2","30/01/2024","2","6","179","140","160","2","177","158","153","316"
"44","30,29","14792","21","3","14/02/2024","2","5","164","212","165","3","130","165","166","495"
"45","42,62","14795","21","2","08/01/2024","2","6","201","306","272","2","197","226","200","452"
"46","0,04","14796","21","3","09/01/2024","2","6","200","164","148","2","177","162","131","323"
"47","12,87","14801","21","3","25/01/2024","1","6","184","207","169","2","182","185","159","369"
"48","25,47","14802","21","3","08/01/2024","2","6","201","238","209","2","154","174","169","347"
"49","36,39","14806","21","2","23/01/2024","1","6","186","304","234","2","135","208","195","415"
"50","12,45","14810","21","2","23/01/2024","1","3","95","93","136","2","136","145","165","290"
"51","32,63","14811","21","2","05/01/2024","3","6","204","330","239","2","200","283","212","565"
"52","18,47","14812","21","3","07/01/2024","1","6","202","194","177","3","161","146","134","438"
"53","4,22","14813","21","2","21/01/2024","1","6","188","161","110","2","176","138","94","276"
"54","9,11","14815","21","3","27/04/2024","2","3","91","105","139","3","110","88","107","264"
"55","10,94","14816","21","3","22/01/2024","1","6","187","206","193","2","182","206","168","411"
"56","-1,74","55667","17","7","06/02/2024","1","6","172","118","148","4","154","118","129","471"
"57","6,08","55668","17","7","11/04/2024","1","4","107","60","69","7","171","167","129","1167"
"58","-8,73","55673","17","7","16/01/2024","2","6","193","192","144","5","182","157","119","785"
"59","-6,48","55677","17","6","17/01/2024","1","3","101","124","162","5","141","126","151","631"
"60","39,03","55682","17","7","04/01/2024","2","3","114","117","150","6","161","200","216","1202"
"61","25,58","55683","17","7","07/01/2024","1","3","111","103","142","7","153","172","181","1206"
"62","7,82","55684","17","7","02/03/2024","1","5","147","65","64","5","168","159","150","796"
"63","-2,08","55695","17","7","07/01/2024","2","6","202","102","53","5","181","208","163","1042"
"64","-12,76","55696","17","6","17/02/2024","1","4","111","39","54","4","148","97","104","389"
"65","17,69","55697","17","7","05/01/2024","2","6","204","160","121","7","189","210","177","1470"
"66","6,01","55699","17","7","19/01/2024","1","6","190","116","119","5","156","134","144","668"
"67","41,14","56387","19","4","25/01/2024","1","6","184","247","199","4","185","244","220","977"
"68","8,42","56394","19","4","10/03/2024","1","5","139","141","110","4","170","175","151","700"
"69","27,82","56395","19","5","26/01/2024","1","6","183","185","178","4","172","220","206","879"
"70","11,41","56398","19","5","09/01/2024","1","6","200","198","155","5","152","165","132","827"
"71","10,51","56401","19","5","28/01/2024","2","6","181","213","222","5","140","148","157","738"
"72","45,66","56402","19","4","05/01/2024","2","6","204","180","176","4","159","174","176","694"
"73","-9,55","56409","19","4","28/01/2024","2","6","181","122","122","4","180","126","120","505"
"74","12","56410","19","4","07/01/2024","1","6","202","203","141","4","178","196","166","782"
"75","21,5","56412","19","4","08/01/2024","1","6","201","173","171","4","171","174","184","697"
"76","54,94","56413","19","4","05/01/2024","2","4","144","202","262","4","157","203","218","813"
"77","37,89","56414","19","4","03/01/2024","2","6","206","242","188","4","157","227","187","906"
"78","2,46","56415","19","5","09/01/2024","1","4","140","68","96","5","145","121","116","604"
"79","19,76","56418","19","5","07/01/2024","2","6","202","207","220","4","182","192","179","769"
"80","-2,45","56422","19","5","22/01/2024","1","6","187","99","102","3","176","136","109","408"
"81","1,96","56423","19","4","07/01/2024","1","6","202","143","104","3","183","173","125","518"
"82","3,12","56424","19","5","21/01/2024","1","6","188","164","158","4","184","178","145","712"
"83","28,36","56428","19","4","27/01/2024","2","6","182","283","252","3","152","208","185","625"
"84","14,33","56429","19","5","04/01/2024","2","6","205","254","211","3","188","223","184","669"
"85","9,13","56431","19","5","23/01/2024","2","6","186","201","171","4","173","188","164","753"
"86","-4,25","56437","19","4","13/01/2024","1","5","165","174","143","4","156","135","115","541"
"87","2,56","56441","19","4","05/01/2024","2","4","144","147","174","3","165","159","158","478"
