"","valgen","crotal","cana","crotalM","crotalP","npartosULT","fechapartoULT","nvivosULT","nmuertosULT","ncontrULT","diasULT","ordeULT","tipoULT","laPROM","diasPROM","orderPROM","tipoPROM","acumPROM"
"1","8,47","7717","20","83437","2119","4","25/01/2024","1",NA,"6","184","147","100","3","177","170","134","509"
"2","41,21","7720","20","33885","65490","4","23/01/2024","1",NA,"6","186","259","244","3","158","178","175","533"
"3","-1,39","7722","20","40620","2129","4","09/01/2024","2",NA,"4","140","101","103","3","161","141","127","423"
"4","27,33","7726","20","55690","51529","2","06/01/2024","1",NA,"6","203","250","195","2","191","218","180","436"
"5","21,75","7727","20","33905","65017","4","06/01/2024","2",NA,"6","203","193","152","3","179","188","159","564"
"6","13,94","7729","20","30602","2113","4","10/01/2024","1",NA,"6","199","235","205","4","164","175","160","701"
"7","23,57","7730","20","8628","51529","3","24/01/2024","1",NA,"1","28","","","162","140","113",NA,""
"8","33,13","7732","20","55697","2125","4","24/01/2024","2",NA,"5","185","","","195","214","199",NA,""
"9","","7733","20","83407","2113","3","06/02/2024","1",NA,"2","112","","","","","",NA,""
"10","49,24","7734","20","40685","30224","3","10/02/2024","1",NA,"","","","","184","254","194",NA,""
"11","9,44","7735","20","33821",NA,"3","22/01/2024","1",NA,"6","187","195","154","2","181","182","150","364"
"12","6,38","7738","20","30602","2113","4","26/01/2024","2",NA,"1","26","","","163","130","120",NA,""
"13","13,95","7739","20","83395","2120","4","23/01/2024","1",NA,"","","","","144","133","126",NA,""
"14","27,03","7740","20","83395","2120","3","05/01/2024","2",NA,"6","204","242","199","3","178","217","182","651"
"15","7,19","7741","20","8587",NA,"3","23/01/2024","1",NA,"2","63","","","187","139","121",NA,""
"16","15,03","7744","20","8619",NA,"4","08/01/2024","1",NA,"6","201","281","262","4","166","191","164","762"
"17","3,41","7745","20","83419","2113","3","08/01/2024","1",NA,"6","201","96","76","2","190","173","133","346"
"18","22,58","7747","20","8618","98595","4","11/01/2024","2",NA,"6","198","190","169","3","160","161","152","482"
"19","33,3","7748","20","83418","2115","4","09/01/2024","1",NA,"6","200","297","259","4","178","221","176","883"
"20","40,05","7749","20","83405","98594","3","10/01/2024","1",NA,"6","199","274","287","3","190","205","182","614"
"21","21,16","7753","20","40673","2125","3","26/01/2024","1",NA,"6","183","217","196","3","166","177","162","532"
"22","7,15","7754","20","8643",NA,"4","07/01/2024","1",NA,"6","202","181","116","4","154","158","137","631"
"23","30,58","7755","20","55697","2125","4","25/01/2024","2",NA,"6","184","289","304","3","167","180","173","541"
"24","13,89","7756","20","40602",NA,"3","07/02/2024","1",NA,"3","80","81","123","3","136","117","149","350"
"25","66,28","7757","20","8665",NA,"5","09/01/2024","1",NA,"4","140","174","186","3","160","217","202","650"
"26","-0,36","7760","20","40630",NA,"3","07/01/2024","2",NA,"6","202","197","149","2","183","165","138","329"
"27","20,74","7761","20","40654","98594","4","07/01/2024","2",NA,"5","202","","","165","156","133",NA,""
