"","valgen","crotal","canac","crotalM","crotalP","partos","litros"
"55697",17.69,55697,17,30570,51517,7,1470
"83395",13.46,83395,17,30597,61011,7,1446
"83419",5.04,83419,17,28779,98536,7,1429
"83405",36.3,83405,17,40614,0,6,1337
"83424",10.41,83424,17,33893,98551,7,1320
"55683",25.58,55683,17,65165,0,7,1206
"55682",39.03,55682,17,30564,84179,7,1202
"55668",6.08,55668,17,40679,98551,7,1167
"83384",5.54,83384,17,30627,98551,7,1103
"7779",48.24,7779,20,55668,65017,4,1086
"55695",-2.08,55695,17,33809,51511,7,1042
"83420",11.96,83420,17,30602,98536,7,1020
"80663",8.16,80663,18,8653,98534,5,1004
"56387",41.14,56387,19,30592,0,4,977
"80624",35.67,80624,18,33905,98595,6,971
"80693",5.19,80693,18,33831,0,5,963
"8590",26.75,8590,16,33850,0,7,946
"56450",41.38,56450,19,30602,71064,5,946
"8625",11.97,8625,16,30570,30222,7,930
"80697",9.66,80697,18,40654,98551,6,919
"56414",37.89,56414,19,33885,20052,4,906
"56449",27,56449,19,33893,0,5,887
"7748",33.3,7748,20,83418,2115,4,883
"56395",27.82,56395,19,8654,40086,5,879
"83388",11.73,83388,17,65222,95108,6,877
"80646",10.01,80646,18,33888,0,6,846
"56398",11.41,56398,19,83421,71064,5,827
"56413",54.94,56413,19,40601,30105,4,813
"55684",7.82,55684,17,40685,61011,7,796
"56448",25.86,56448,19,40685,71064,5,792
"83403",-6.11,83403,17,28850,0,6,792
"80639",-0.52,80639,18,16522,65004,5,791
"55673",-8.73,55673,17,40675,51527,7,785
"56410",12,56410,19,55666,30224,4,782
"56458",15.4,56458,19,40617,71064,4,774
"80669",6.53,80669,18,40670,65018,6,772
"80692",-5.24,80692,18,83420,0,6,772
"56418",19.76,56418,19,33820,0,5,769
"80661",21.12,80661,18,30606,30222,5,768
"83429",2.66,83429,17,30540,51508,7,764
"7744",15.03,7744,20,8619,0,4,762
"80610",6.59,80610,18,40679,98534,6,760
"56431",9.13,56431,19,40689,60357,5,753
"80650",10.07,80650,18,40603,30222,6,742
"80631",-2.57,80631,18,8591,65008,5,741
"56401",10.51,56401,19,33887,64872,5,738
"83400",-5.16,83400,17,33817,51517,7,730
"56456",5.29,56456,19,8619,0,5,722
"80623",-10.9,80623,18,40628,65004,6,720
"56424",3.12,56424,19,83385,0,5,712
"7769",17.83,7769,20,40601,65017,4,707
"7729",13.94,7729,20,30602,2113,4,701
"56394",8.42,56394,19,33826,71145,4,700
"56412",21.5,56412,19,83416,98532,4,697
"56402",45.66,56402,19,40621,71145,4,694
"7770",34.87,7770,20,80666,0,3,686
"7771",34.31,7771,20,55684,0,3,678
"56429",14.33,56429,19,30606,0,5,669
"55699",6.01,55699,17,40686,51519,7,668
"7740",27.03,7740,20,83395,2120,3,651
"7757",66.28,7757,20,8665,0,5,650
"7754",7.15,7754,20,8643,0,4,631
"55677",-6.48,55677,17,33832,51512,6,631
"56428",28.36,56428,19,30597,71064,4,625
"7749",40.05,7749,20,83405,98594,3,614
"80686",-12.18,80686,18,8605,65016,6,605
"56415",2.46,56415,19,55676,98510,5,604
"56457",-1.05,56457,19,30600,0,4,588
"83426",-3.2,83426,17,30567,61011,6,582
"14811",32.63,14811,21,55689,0,2,565
"7727",21.75,7727,20,33905,65017,4,564
"56446",-9.21,56446,19,40650,64888,4,555
"7768",28.18,7768,20,8651,2125,3,544
"7755",30.58,7755,20,55697,2125,4,541
"56437",-4.25,56437,19,30580,64878,4,541
"14771",12.78,14771,21,80694,91105,3,537
"80698",-14.54,80698,18,30597,65004,5,534
"7720",41.21,7720,20,33885,65490,4,533
"7753",21.16,7753,20,40673,2125,3,532
"56423",1.96,56423,19,33896,71145,4,518
"7767",16.77,7767,20,80676,65017,3,516
"14767",19.41,14767,21,8665,0,3,515
"7717",8.47,7717,20,83437,2119,4,509
"56409",-9.55,56409,19,8598,64876,4,505
"14792",30.29,14792,21,56448,2187,3,495
"7747",22.58,7747,20,8618,98595,4,482
"56441",2.56,56441,19,40686,40086,4,478
"14769",26.51,14769,21,8666,2146,2,475
"55667",-1.74,55667,17,33831,98536,7,471
"14790",11.37,14790,21,80694,91105,3,468
"80659",25.01,80659,18,33821,98595,5,462
"14795",42.62,14795,21,80687,91080,2,452
"14812",18.47,14812,21,83388,0,3,438
"7726",27.33,7726,20,55690,51529,2,436
"7722",-1.39,7722,20,40620,2129,4,423
"14806",36.39,14806,21,8654,91087,2,415
"7780",4.97,7780,20,55691,0,3,412
"56465",-12.84,56465,19,83383,64899,5,412
"14816",10.94,14816,21,40601,0,3,411
"56422",-2.45,56422,19,40617,71064,5,408
"7781",16.73,7781,20,55667,0,3,405
"14777",10.15,14777,21,8589,2129,3,391
"55696",-12.76,55696,17,28846,0,6,389
"7778",-5.6,7778,20,8667,2129,3,379
"72303",23.91,72303,22,55698,2123,2,378
"72355",50.87,72355,22,56470,65024,2,375
"14801",12.87,14801,21,55672,0,3,369
"14778",30.48,14778,21,83424,0,3,365
"7735",9.44,7735,20,33821,0,3,364
"14788",-12.7,14788,21,40641,0,3,358
"72356",31.5,72356,22,56418,2157,2,355
"72365",34.85,72365,22,55683,65018,2,354
"7756",13.89,7756,20,40602,0,3,350
"72300",16.11,72300,22,0,0,2,349
"14802",25.47,14802,21,83418,98595,3,347
"7745",3.41,7745,20,83419,2113,3,346
"14764",-6.19,14764,21,0,0,3,345
"14768",11.16,14768,21,40601,0,2,337
"7760",-0.36,7760,20,40630,0,3,329
"14796",0.04,14796,21,40620,2129,3,323
"14791",6.55,14791,21,33887,2129,2,316
